% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 4g.24gb, 1440.0 MHz clock, 24092.4 MiB memory, capability 8.0
% Mon Mar 13 22:24:24 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
 6400  6400  6400   3159.14 ( 165.96)    9516.24 (  55.09)     ---   (  ---  )    5.74e-19        ---    ok
 6528  6528  6528   2968.64 ( 187.42)    9640.63 (  57.71)     ---   (  ---  )    5.57e-19        ---    ok
 6656  6656  6656   3267.28 ( 180.50)    9488.71 (  62.15)     ---   (  ---  )    5.42e-19        ---    ok
 6784  6784  6784   3249.58 ( 192.16)    9303.13 (  67.12)     ---   (  ---  )    5.26e-19        ---    ok
 6912  6912  6912   2964.08 ( 222.82)    9324.61 (  70.83)     ---   (  ---  )    5.27e-19        ---    ok
 7040  7040  7040   3217.41 ( 216.89)    9312.17 (  74.94)     ---   (  ---  )    7.21e-19        ---    ok
 7168  7168  7168   3211.20 ( 229.38)    9285.91 (  79.32)     ---   (  ---  )    9.37e-19        ---    ok
 7296  7296  7296   3031.57 ( 256.22)    9204.70 (  84.39)     ---   (  ---  )    9.43e-19        ---    ok
 7424  7424  7424   3326.14 ( 246.04)    9196.89 (  88.98)     ---   (  ---  )    9.19e-19        ---    ok
 7552  7552  7552   3393.64 ( 253.83)    9136.36 (  94.29)     ---   (  ---  )    8.96e-19        ---    ok
 7680  7680  7680   3273.44 ( 276.76)    9086.42 (  99.71)     ---   (  ---  )    8.74e-19        ---    ok
 7808  7808  7808   3374.50 ( 282.12)    9938.48 (  95.79)     ---   (  ---  )    8.52e-19        ---    ok
 7936  7936  7936   3240.34 ( 308.49)    9064.38 ( 110.28)     ---   (  ---  )    8.32e-19        ---    ok
 8064  8064  8064   3350.17 ( 313.05)    8931.43 ( 117.42)     ---   (  ---  )    8.12e-19        ---    ok
 8192  8192  8192   3355.80 ( 327.65)    8928.08 ( 123.15)     ---   (  ---  )    7.93e-19        ---    ok
 8320  8320  8320   3350.34 ( 343.80)    8937.12 ( 128.89)     ---   (  ---  )    7.75e-19        ---    ok
 8448  8448  8448   3533.51 ( 341.26)    9146.08 ( 131.84)     ---   (  ---  )    7.58e-19        ---    ok
 8576  8576  8576   3713.37 ( 339.72)    8981.08 ( 140.46)     ---   (  ---  )    7.41e-19        ---    ok
 8704  8704  8704   3652.21 ( 361.10)    8855.62 ( 148.93)     ---   (  ---  )    7.24e-19        ---    ok
 8832  8832  8832   3758.04 ( 366.65)    8850.69 ( 155.68)     ---   (  ---  )    7.08e-19        ---    ok
 8960  8960  8960   3671.70 ( 391.82)    8815.28 ( 163.20)     ---   (  ---  )    6.93e-19        ---    ok
 9088  9088  9088   3566.29 ( 420.94)    8861.79 ( 169.40)     ---   (  ---  )    6.78e-19        ---    ok
 9216  9216  9216   3470.67 ( 451.07)    8784.48 ( 178.21)     ---   (  ---  )    6.65e-19        ---    ok
 9344  9344  9344   3793.58 ( 430.11)    8906.12 ( 183.21)     ---   (  ---  )    6.51e-19        ---    ok
 9472  9472  9472   3558.21 ( 477.66)    8969.70 ( 189.49)     ---   (  ---  )    6.38e-19        ---    ok
 9600  9600  9600   3745.23 ( 472.46)    8814.48 ( 200.75)     ---   (  ---  )    6.25e-19        ---    ok
 9728  9728  9728   3655.16 ( 503.73)    8959.91 ( 205.49)     ---   (  ---  )    6.13e-19        ---    ok
 9856  9856  9856   3782.16 ( 506.28)    8800.54 ( 217.58)     ---   (  ---  )    6.00e-19        ---    ok
 9984  9984  9984   3802.04 ( 523.51)    8824.80 ( 225.55)     ---   (  ---  )    5.89e-19        ---    ok
10112 10112 10112   3602.79 ( 573.99)    8771.26 ( 235.76)     ---   (  ---  )    5.78e-19        ---    ok
10240 10240 10240   3893.06 ( 551.62)    8623.98 ( 249.01)     ---   (  ---  )    5.68e-19        ---    ok
