% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 2c.4g.24gb, 1440.0 MHz clock, 24092.4 MiB memory, capability 8.0
% Mon Mar 13 22:20:31 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
 6400  6400  6400   1758.17 ( 298.20)    5108.58 ( 102.63)     ---   (  ---  )    5.74e-19        ---    ok
 6528  6528  6528   1794.02 ( 310.13)    5089.08 ( 109.33)     ---   (  ---  )    5.57e-19        ---    ok
 6656  6656  6656   1693.92 ( 348.16)    5079.21 ( 116.11)     ---   (  ---  )    5.42e-19        ---    ok
 6784  6784  6784   1709.49 ( 365.28)    5089.08 ( 122.70)     ---   (  ---  )    5.26e-19        ---    ok
 6912  6912  6912   1987.98 ( 332.22)    5097.62 ( 129.56)     ---   (  ---  )    5.27e-19        ---    ok
 7040  7040  7040   1892.59 ( 368.72)    5085.72 ( 137.21)     ---   (  ---  )    7.21e-19        ---    ok
 7168  7168  7168   1923.18 ( 383.01)    5100.27 ( 144.42)     ---   (  ---  )    9.37e-19        ---    ok
 7296  7296  7296   2010.19 ( 386.41)    5083.05 ( 152.81)     ---   (  ---  )    9.43e-19        ---    ok
 7424  7424  7424   1831.65 ( 446.79)    5102.31 ( 160.39)     ---   (  ---  )    9.19e-19        ---    ok
 7552  7552  7552   1966.85 ( 437.97)    5093.22 ( 169.13)     ---   (  ---  )    8.96e-19        ---    ok
 7680  7680  7680   1982.77 ( 456.92)    5104.63 ( 177.48)     ---   (  ---  )    8.74e-19        ---    ok
