% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 4g.24gb, 1440.0 MHz clock, 24092.4 MiB memory, capability 8.0
% Mon Mar 13 20:03:06 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
  128   128   128     38.49 (   0.11)      21.07 (   0.20)     ---   (  ---  )    0.00e+00        ---    ok
  256   256   256    277.04 (   0.12)     368.42 (   0.09)     ---   (  ---  )    4.44e-18        ---    ok
  384   384   384    735.28 (   0.15)    1021.48 (   0.11)     ---   (  ---  )    0.00e+00        ---    ok
  512   512   512   1028.22 (   0.26)    1688.01 (   0.16)     ---   (  ---  )    0.00e+00        ---    ok
  640   640   640    784.80 (   0.67)    2776.54 (   0.19)     ---   (  ---  )    2.27e-18        ---    ok
  768   768   768   1930.85 (   0.47)    3551.32 (   0.26)     ---   (  ---  )    1.73e-18        ---    ok
  896   896   896   2060.83 (   0.70)    1979.05 (   0.73)     ---   (  ---  )    2.09e-17        ---    ok
 1024  1024  1024   1603.85 (   1.34)    4783.43 (   0.45)     ---   (  ---  )    2.24e-18        ---    ok
 1152  1152  1152   1865.41 (   1.64)    4823.13 (   0.63)     ---   (  ---  )    2.21e-17        ---    ok
 1280  1280  1280   2406.26 (   1.74)    5229.54 (   0.80)     ---   (  ---  )    2.29e-17        ---    ok
 1408  1408  1408   2627.38 (   2.12)    5611.12 (   0.99)     ---   (  ---  )    2.28e-17        ---    ok
 1536  1536  1536   2602.46 (   2.78)    5840.40 (   1.24)     ---   (  ---  )    2.23e-17        ---    ok
 1664  1664  1664   2626.75 (   3.51)    5861.39 (   1.57)     ---   (  ---  )    2.16e-17        ---    ok
 1792  1792  1792   2819.52 (   4.08)    6125.23 (   1.88)     ---   (  ---  )    2.09e-17        ---    ok
 1920  1920  1920   2710.26 (   5.22)    6070.30 (   2.33)     ---   (  ---  )    2.01e-17        ---    ok
 2048  2048  2048   2752.71 (   6.24)    5990.32 (   2.87)     ---   (  ---  )    1.59e-18        ---    ok
 2176  2176  2176   2818.17 (   7.31)    5744.79 (   3.59)     ---   (  ---  )    2.11e-17        ---    ok
 2304  2304  2304   2786.01 (   8.78)    5807.63 (   4.21)     ---   (  ---  )    2.20e-17        ---    ok
 2432  2432  2432   2670.40 (  10.77)    6036.26 (   4.77)     ---   (  ---  )    1.23e-18        ---    ok
 2560  2560  2560   2684.14 (  12.50)    6133.15 (   5.47)     ---   (  ---  )    1.14e-18        ---    ok
 2688  2688  2688   2861.58 (  13.57)    6026.09 (   6.45)     ---   (  ---  )    1.05e-18        ---    ok
 2816  2816  2816   2891.03 (  15.45)    6431.64 (   6.94)     ---   (  ---  )    9.85e-19        ---    ok
 2944  2944  2944   2907.14 (  17.55)    6483.63 (   7.87)     ---   (  ---  )    9.20e-19        ---    ok
 3072  3072  3072   2875.93 (  20.16)    6392.62 (   9.07)     ---   (  ---  )    8.64e-19        ---    ok
 3200  3200  3200   2918.02 (  22.46)    6492.00 (  10.09)     ---   (  ---  )    8.13e-19        ---    ok
 3328  3328  3328   2900.84 (  25.41)    6459.17 (  11.41)     ---   (  ---  )    7.66e-19        ---    ok
 3456  3456  3456   2943.07 (  28.05)    6549.53 (  12.60)     ---   (  ---  )    8.00e-19        ---    ok
 3584  3584  3584   3157.29 (  29.16)    7029.57 (  13.10)     ---   (  ---  )    1.28e-18        ---    ok
 3712  3712  3712   3577.25 (  28.60)    7984.22 (  12.81)     ---   (  ---  )    1.30e-18        ---    ok
 3840  3840  3840   4212.39 (  26.88)    9411.31 (  12.03)     ---   (  ---  )    1.23e-18        ---    ok
 3968  3968  3968   2939.02 (  42.52)    6542.36 (  19.10)     ---   (  ---  )    1.18e-18        ---    ok
 4096  4096  4096   4167.47 (  32.98)    9322.26 (  14.74)     ---   (  ---  )    1.12e-18        ---    ok
 4224  4224  4224   4408.60 (  34.19)    9844.60 (  15.31)     ---   (  ---  )    1.07e-18        ---    ok
 4352  4352  4352   4359.01 (  37.82)    9890.34 (  16.67)     ---   (  ---  )    1.02e-18        ---    ok
 4480  4480  4480   2944.47 (  61.07)    6556.20 (  27.43)     ---   (  ---  )    9.80e-19        ---    ok
 4608  4608  4608   4323.02 (  45.27)    9640.37 (  20.30)     ---   (  ---  )    9.39e-19        ---    ok
 4736  4736  4736   2956.71 (  71.85)    6582.05 (  32.28)     ---   (  ---  )    9.01e-19        ---    ok
 4864  4864  4864   4283.93 (  53.72)    9881.95 (  23.29)     ---   (  ---  )    8.67e-19        ---    ok
