% MAGMA 2.7.0  32-bit magma_int_t, 64-bit pointer.
% Compiled with CUDA support for 8.0
% CUDA runtime 11070, driver 12000. OpenMP threads 16. 
% device 0: NVIDIA A30 MIG 4g.24gb, 1440.0 MHz clock, 24092.4 MiB memory, capability 8.0
% Mon Mar 13 20:03:06 2023
% Usage: /homelocal/jcamar02/magma-2.7.0/build/testing/testing_dgemm [options] [-h|--help]

% If running lapack (option --lapack), MAGMA and cuBLAS error are both computed
% relative to CPU BLAS result. Else, MAGMA error is computed relative to cuBLAS result.

% transA = No transpose, transB = No transpose
%   M     N     K   MAGMA Gflop/s (ms)  cuBLAS Gflop/s (ms)   CPU Gflop/s (ms)  MAGMA error  cuBLAS error
%========================================================================================================
 4992  4992  4992   4236.00 (  58.74)    9876.97 (  25.19)     ---   (  ---  )    8.33e-19        ---    ok
 5120  5120  5120   3271.53 (  82.05)    6566.28 (  40.88)     ---   (  ---  )    8.02e-19        ---    ok
 5248  5248  5248   2945.27 (  98.15)    8393.59 (  34.44)     ---   (  ---  )    7.74e-19        ---    ok
 5376  5376  5376   3076.95 ( 100.99)    8589.21 (  36.18)     ---   (  ---  )    7.45e-19        ---    ok
 5504  5504  5504   3092.50 ( 107.83)    7620.90 (  43.76)     ---   (  ---  )    7.20e-19        ---    ok
 5632  5632  5632   2954.67 ( 120.92)    9891.11 (  36.12)     ---   (  ---  )    6.95e-19        ---    ok
 5760  5760  5760   2999.16 ( 127.44)    9800.44 (  39.00)     ---   (  ---  )    6.73e-19        ---    ok
 5888  5888  5888   2954.46 ( 138.18)    9821.18 (  41.57)     ---   (  ---  )    6.50e-19        ---    ok
 6016  6016  6016   3024.78 ( 143.97)    9751.54 (  44.66)     ---   (  ---  )    6.30e-19        ---    ok
 6144  6144  6144   2963.22 ( 156.54)    9608.01 (  48.28)     ---   (  ---  )    6.11e-19        ---    ok
 6272  6272  6272   3368.81 ( 146.48)    8984.49 (  54.92)     ---   (  ---  )    5.92e-19        ---    ok
 6400  6400  6400   3338.16 ( 157.06)    9456.33 (  55.44)     ---   (  ---  )    5.74e-19        ---    ok
 6528  6528  6528   2997.92 ( 185.59)    9534.67 (  58.35)     ---   (  ---  )    5.57e-19        ---    ok
 6656  6656  6656   3307.90 ( 178.29)    9440.11 (  62.47)     ---   (  ---  )    5.42e-19        ---    ok
 6784  6784  6784   3250.57 ( 192.10)    9462.41 (  65.99)     ---   (  ---  )    5.26e-19        ---    ok
 6912  6912  6912   2970.69 ( 222.32)    9524.54 (  69.34)     ---   (  ---  )    5.27e-19        ---    ok
 7040  7040  7040   3217.93 ( 216.86)    9310.72 (  74.95)     ---   (  ---  )    7.21e-19        ---    ok
 7168  7168  7168   3201.56 ( 230.07)    9277.49 (  79.40)     ---   (  ---  )    9.37e-19        ---    ok
 7296  7296  7296   3033.90 ( 256.03)    10047.68 (  77.31)     ---   (  ---  )    9.43e-19        ---    ok
 7424  7424  7424   3262.03 ( 250.87)    9216.28 (  88.79)     ---   (  ---  )    9.19e-19        ---    ok
 7552  7552  7552   3305.03 ( 260.64)    9074.95 (  94.92)     ---   (  ---  )    8.96e-19        ---    ok
 7680  7680  7680   3207.04 ( 282.49)    9150.57 (  99.01)     ---   (  ---  )    8.74e-19        ---    ok
 7808  7808  7808   3656.43 ( 260.37)    8945.68 ( 106.42)     ---   (  ---  )    8.52e-19        ---    ok
 7936  7936  7936   3782.27 ( 264.29)    9918.65 ( 100.78)     ---   (  ---  )    8.32e-19        ---    ok
 8064  8064  8064   3753.04 ( 279.45)    9733.03 ( 107.75)     ---   (  ---  )    8.12e-19        ---    ok
 8192  8192  8192   3506.23 ( 313.59)    9076.14 ( 121.14)     ---   (  ---  )    7.93e-19        ---    ok
 8320  8320  8320   3667.65 ( 314.06)    8891.66 ( 129.54)     ---   (  ---  )    7.75e-19        ---    ok
 8448  8448  8448   3590.10 ( 335.88)    8998.57 ( 134.00)     ---   (  ---  )    7.58e-19        ---    ok
 8576  8576  8576   3708.47 ( 340.17)    8736.93 ( 144.39)     ---   (  ---  )    7.41e-19        ---    ok
 8704  8704  8704   3623.61 ( 363.95)    8964.69 ( 147.11)     ---   (  ---  )    7.24e-19        ---    ok
 8832  8832  8832   3547.27 ( 388.43)    9129.60 ( 150.92)     ---   (  ---  )    7.08e-19        ---    ok
 8960  8960  8960   3441.56 ( 418.02)    8769.83 ( 164.04)     ---   (  ---  )    6.93e-19        ---    ok
 9088  9088  9088   3503.22 ( 428.52)    8929.30 ( 168.12)     ---   (  ---  )    6.78e-19        ---    ok
 9216  9216  9216   3988.90 ( 392.47)    8778.16 ( 178.34)     ---   (  ---  )    6.65e-19        ---    ok
 9344  9344  9344   3587.32 ( 454.84)    8754.27 ( 186.38)     ---   (  ---  )    6.51e-19        ---    ok
 9472  9472  9472   3963.19 ( 428.86)    8942.14 ( 190.07)     ---   (  ---  )    6.38e-19        ---    ok
 9600  9600  9600   3964.14 ( 446.37)    8824.73 ( 200.51)     ---   (  ---  )    6.25e-19        ---    ok
 9728  9728  9728   3756.95 ( 490.08)    8715.61 ( 211.25)     ---   (  ---  )    6.13e-19        ---    ok
 9856  9856  9856   3970.08 ( 482.32)    8653.86 ( 221.27)     ---   (  ---  )    6.00e-19        ---    ok
 9984  9984  9984   3948.94 ( 504.04)    8663.17 ( 229.76)     ---   (  ---  )    5.89e-19        ---    ok
10112 10112 10112   3737.29 ( 553.33)    8771.07 ( 235.77)     ---   (  ---  )    5.78e-19        ---    ok
10240 10240 10240   3941.45 ( 544.85)    8638.00 ( 248.61)     ---   (  ---  )    5.68e-19        ---    ok
